title_english,status,episodes,rating,rank,popularity,members,favorites,score,scored_by,genres,themes,demographics
Spice and Wolf,Finished Airing,13.0,PG-13 - Teens 13 or older,398.0,237,852849,18128,8.21,407706.0,"Adventure, Drama, Romance, Supernatural",Adult Cast,
given,Finished Airing,11.0,PG-13 - Teens 13 or older,294.0,388,613061,17787,8.3,334044.0,"Boys Love, Drama","Music, School",
Assassination Classroom Second Season,Finished Airing,25.0,PG-13 - Teens 13 or older,158.0,86,1518888,17786,8.47,943418.0,"Action, Comedy",School,Shounen
Fruits Basket 1st Season,Finished Airing,25.0,PG-13 - Teens 13 or older,391.0,213,906497,17546,8.21,431015.0,"Drama, Romance, Supernatural","Love Polygon, School",Shoujo
86 Eighty-Six Part 2,Finished Airing,12.0,R - 17+ (violence & profanity),58.0,408,590736,17322,8.72,340934.0,"Action, Drama, Sci-Fi","Mecha, Military",
Dragon Ball,Finished Airing,153.0,PG-13 - Teens 13 or older,702.0,150,1102058,17304,7.98,704128.0,"Action, Adventure, Comedy, Fantasy",Martial Arts,Shounen
Yona of the Dawn,Finished Airing,24.0,PG-13 - Teens 13 or older,643.0,212,906356,17256,8.03,439208.0,"Adventure, Fantasy, Romance",,Shoujo
Gintama Season 4,Finished Airing,51.0,PG-13 - Teens 13 or older,5.0,343,671470,17233,9.05,265056.0,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen
The Eminence in Shadow,Finished Airing,20.0,R - 17+ (violence & profanity),342.0,268,791245,17201,8.25,425723.0,"Action, Comedy, Fantasy","Isekai, Reincarnation",
Blue Exorcist,Finished Airing,25.0,PG-13 - Teens 13 or older,2099.0,41,2009029,17129,7.47,1196620.0,"Action, Supernatural","Mythology, School",Shounen
Legend of the Galactic Heroes,Finished Airing,110.0,R - 17+ (violence & profanity),11.0,754,346572,17105,9.01,84456.0,"Drama, Sci-Fi","Adult Cast, Military, Space",
Fate/stay night [Unlimited Blade Works],Finished Airing,12.0,R - 17+ (violence & profanity),434.0,141,1138134,17076,8.18,709087.0,"Action, Fantasy",Urban Fantasy,
Guilty Crown,Finished Airing,22.0,R - 17+ (violence & profanity),2429.0,119,1255785,17073,7.4,654044.0,"Action, Drama, Sci-Fi","Mecha, Super Power",
Miss Kobayashi's Dragon Maid,Finished Airing,13.0,PG-13 - Teens 13 or older,809.0,112,1294653,17018,7.92,775695.0,"Slice of Life, Supernatural",,
Trigun,Finished Airing,26.0,PG-13 - Teens 13 or older,385.0,261,805264,16908,8.22,389888.0,"Action, Adventure, Sci-Fi",Adult Cast,Shounen
My Hero Academia Season 2,Finished Airing,25.0,PG-13 - Teens 13 or older,601.0,15,2647350,16905,8.06,1799868.0,Action,"School, Super Power",Shounen
